Código,Compromiso,Eje,Lugar,Proyecto sugerido,Programa,Nivel de encaje,Nota
C195,"Implementar el modelo de transformación de los residuos sólidos (biogás, combustible y valorización)",Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Circular La Paz: Laboratorio de economia regenerativa,Economia Circular y Reciclaje Inclusivo,Alto,Transformación/valorización de residuos (biogás).
C196,Revisar el caso del Mercado Los Pinos y regularizar las patentes de los comerciantes,Ciudad Productiva,"Mercado Los Pinos, La Paz","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,Regularización de patentes de mercado. | afinado: Regularizar patentes formaliza el comercio del mercado.
C197,Modernizar la Maestranza municipal y aumentar la producción de mobiliario educativo,Ciudad de Cuidados y Derechos,"Subalcaldía / Maestranza de Hampaturi, La Paz",Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Maestranza produce mobiliario educativo. | afinado: Modernizar la Maestranza para producir mobiliario educativo equipa las escuelas.
C198,Ejecutar el ordenamiento y la reposición del mobiliario educativo en las unidades educativas,Ciudad de Cuidados y Derechos,"Subalcaldía / Maestranza de Hampaturi, La Paz",Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Reposición de mobiliario educativo.
C199,Potenciar el desarrollo productivo y agrícola del área rural de Hampaturi,Ciudad Productiva,"Subalcaldía / Maestranza de Hampaturi, La Paz",Distritos con Identidad Productiva,"Planificacion Productiva, Competitividad y Oportunidades Territoriales",Alto,Desarrollo productivo agrícola rural (Hampaturi).
C200,Impulsar la reactivación económica de La Paz: feria 'Reactiva la Paz' y mesa metropolitana público-privada,Ciudad Productiva,"Reunión Reactiva la Paz (macrodistrito San Antonio), La Paz",Feria Metropolitana de Vocaciones,"Planificacion Productiva, Competitividad y Oportunidades Territoriales",Alto,Feria de reactivación y mesa metropolitana. | afinado: La feria Reactiva la Paz y la mesa público-privada impulsan las vocaciones productivas.
C201,Investigar la sustracción del equipamiento del parque Laikacota,Ciudad Verde,"Parque Laikacota, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Investigación puntual de sustracción.
C202,Sanear y reflotar la situación financiera de EMAVIAS,Ciudad Eficiente y Transparente,"EMAVIAS (planta de asfalto), La Paz",Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Empresas Publicas Eficientes,Alto,Saneamiento financiero de EMAVIAS.
C203,Investigar el robo de asfaltos y auditar las contrataciones de EMAVIAS,Ciudad Eficiente y Transparente,"EMAVIAS (planta de asfalto), La Paz",Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Empresas Publicas Eficientes,Alto,Auditoría de EMAVIAS.
C204,Coordinar con EPSAS la reposición del asfalto que rompe en las vías,Ciudad Conectada,"EMAVIAS (planta de asfalto), La Paz",La Vía es Nuestra: Calles completas para todas las personas.,Infraestructura Vial Estratégica,Alto,"Reposición de asfalto en vías. | afinado: La reposición de pavimento en vías corresponde a infraestructura vial, no a cuellos de botella."
C205,Habilitar los servicios externos de EMAVIAS y aprobar sus estatutos,Ciudad Eficiente y Transparente,"EMAVIAS (planta de asfalto), La Paz",Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Empresas Publicas Eficientes,Alto,Servicios externos y estatutos de EMAVIAS. | afinado: Habilitar servicios y aprobar estatutos de EMAVIAS es reingeniería directa de la empresa pública.
C206,Ejecutar el plan de intervención integral de la piscina de Orcojahuira (San Antonio),Ciudad Vital,"Piscina de Orcojahuira (San Antonio), La Paz",Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Intervención de piscina/infra deportiva. | afinado: Intervenir integralmente la piscina de Orcojahuira rehabilita infraestructura deportiva.
C207,Eliminar los sorteos de nichos del Cementerio General y permitir la elección directa y transparente,Ciudad Eficiente y Transparente,"Cementerio General, La Paz",Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,Transparencia en asignación de nichos. | afinado: Eliminar sorteos por elección directa y transparente digitaliza y transparenta el servicio del cementerio.
C208,Digitalizar y modernizar el registro del Cementerio General,Ciudad Eficiente y Transparente,"Cementerio General, La Paz",Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,Digitalización del registro del cementerio. | afinado: Digitalizar el registro del cementerio es transformación digital del servicio.
C209,Esclarecer los recursos de reconstrucción y ejecutar la nueva construcción de nichos del Cementerio General,Ciudad Planificada y Habitable,"Cementerio General, La Paz",Equipamos La Paz: Infraestructura con proposito humano,Equipamiento y Servicios Urbanos,Alto,Construcción de nichos del cementerio. | afinado: La construcción de nichos es equipamiento y servicio urbano municipal.
C210,Recuperar las bibliotecas municipales cedidas y rehabilitar la de Achachicala,Ciudad Cultural y Turística,"Biblioteca Municipal (Mercado), La Paz",Centros Culturales Barriales,Infraestructura Cultural y Recreativa,Alto,Bibliotecas municipales como infraestructura cultural. | afinado: Recuperar y rehabilitar bibliotecas es infraestructura cultural barrial.
C211,Digitalizar y conservar el acervo patrimonial de la Biblioteca Municipal,Ciudad Cultural y Turística,"Biblioteca Municipal (Mercado), La Paz",Memoria Viva: Adopta tu Patrimonio,Patrimonio para el Futuro,Alto,Conservación/digitalización de acervo patrimonial. | afinado: Digitalizar y conservar el acervo protege el patrimonio.
C212,Incrementar el presupuesto de la Biblioteca Municipal para la compra de libros y la conservación,Ciudad Cultural y Turística,"Biblioteca Municipal (Mercado), La Paz",Centros Culturales Barriales,Infraestructura Cultural y Recreativa,Alto,Fortalecimiento de biblioteca municipal. | afinado: Incrementar el presupuesto de la biblioteca fortalece la infraestructura cultural.
C213,Ejecutar la conservación y restauración del patrimonio de los museos municipales,Ciudad Cultural y Turística,"Museos municipales (Calle Jaén / Casa de Murillo), La Paz",Memoria Viva: Adopta tu Patrimonio,Patrimonio para el Futuro,Alto,Conservación y restauración de patrimonio de museos.
C214,Implementar una tarjeta única de acceso a los museos municipales,Ciudad Cultural y Turística,"Museos municipales (Calle Jaén / Casa de Murillo), La Paz",La Paz Se Vive: Rutas humanas y patrimoniales,Turismo de Altura,Alto,Tarjeta única de acceso a museos (turismo). | afinado: La tarjeta única de acceso a museos impulsa el turismo cultural.
C215,Habilitar parte del Palacio Consistorial como museo por su centenario,Ciudad Cultural y Turística,"Museos municipales (Calle Jaén / Casa de Murillo), La Paz",Memoria Viva: Adopta tu Patrimonio,Patrimonio para el Futuro,Alto,Palacio Consistorial como museo patrimonial.
C216,Devolver los cobros indebidos a los 87 pacientes y eliminar el cobro de certificados e informes médicos en el Hospital Los Pinos,Ciudad Vital,"Hospital Los Pinos, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Eliminación de cobros indebidos en hospital. | afinado: Devolver cobros indebidos y eliminar cobros garantiza el acceso a la salud primaria.
C217,Reponer los extintores vencidos del Hospital Los Pinos y capacitar al personal en su uso,Ciudad Vital,"Hospital Los Pinos, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Seguridad operativa (extintores).
C218,Ampliar y mejorar la infraestructura del Hospital Los Pinos,Ciudad Vital,"Hospital Los Pinos, La Paz",Infraestructura de Centros de Salud y Educacion,Equipamiento y Servicios Urbanos,Alto,Ampliación de infraestructura hospitalaria.
C219,Ampliar y reubicar el Centro de Salud de Tembladerani con accesibilidad y más horarios,Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Infraestructura de Centros de Salud y Educacion,Equipamiento y Servicios Urbanos,Alto,Ampliación/reubicación de centro de salud.
C220,Garantizar que ningún paciente espere en la calle en el Centro de Salud de Tembladerani (guardia municipal),Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Atención operativa.
C221,Regularizar el derecho propietario del inmueble del Centro de Salud de Tembladerani,Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Tu Terreno Cuenta: Regularizacion con justicia social,Catastro Moderno y Justicia Urbana,Alto,Derecho propietario de centro de salud. | afinado: Regularizar el derecho propietario del centro de salud es catastro y justicia urbana.
C222,Renovar el extintor vencido y el equipamiento de seguridad del Centro de Salud de Tembladerani,Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Seguridad operativa (extintor).
C223,Ejecutar los estudios y la intervención integral de estabilización del muro cajón de Seguencoma (calle 16),Ciudad Planificada y Habitable,"Muro cajón de Seguencoma (calle 16), La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Estabilización de muro cajón.
C224,Regularizar la publicidad en vía de la avenida Costanera y cuantificar el hurto de energía del alumbrado público,Ciudad Eficiente y Transparente,"Avenida Costanera (zona Las Cholas), La Paz",Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Publicidad en vía y hurto de energía. | afinado: Regularizar la publicidad en vía regula el espacio público vial.
C225,Actualizar el plan maestro de publicidad exterior de la ciudad (estudio de factibilidad por zonas),Ciudad Planificada y Habitable,"Centro Histórico / Avenida Costanera, La Paz",Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Plan maestro de publicidad exterior. | afinado: Actualizar el plan maestro de publicidad exterior regula el espacio público.
C226,Realizar la limpieza y el mantenimiento de la acera de la avenida Costanera (Las Cholas),Ciudad Conectada,"Avenida Costanera (zona Las Cholas), La Paz",Caminabilidad Distrital,Movilidad Urbana Sostenible,Alto,Limpieza/mantenimiento de acera. | afinado: Limpiar y mantener la acera de la Costanera mejora la caminabilidad.
C227,Transformar el Mercado Bolívar en un mercado digno (refacción integral),Ciudad Productiva,"Mercado Bolívar (calle Catacora, cerca de Plaza Murillo), La Paz","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,Transformación integral de mercado.
C228,Establecer la limpieza periódica (cada 6 meses) del Mercado Bolívar,Ciudad Productiva,"Mercado Bolívar (calle Catacora, cerca de Plaza Murillo), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Limpieza periódica de mercado. | afinado: Limpieza periódica de mercado: mantenimiento operativo recurrente.
C229,Reparar la filtración de humedad y renovar el sistema eléctrico de la Biblioteca Municipal (hemeroteca),Ciudad Cultural y Turística,"Biblioteca Municipal (Hemeroteca), La Paz",Mejoras en zonas patrimoniales,Rehabilitación de Barrios Históricos,Alto,Infraestructura de edificio patrimonial (biblioteca). | afinado: Reparar la humedad y el sistema eléctrico interviene un edificio patrimonial.
C230,Impulsar el programa 'La Paz sin petardos' y hacer cumplir la normativa,Ciudad de Cuidados y Derechos,,Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,La Paz sin petardos (bienestar animal/ruido). | afinado: Campaña de cumplimiento normativo ('sin petardos'): sin proyecto específico en el catálogo.
C231,Evaluar y reforzar la estructura metálica del Parque Urbano Central (desequilibrada),Ciudad Planificada y Habitable,"Parque Urbano Central (patios SETRAM/Pumakatari), La Paz",Parque Urbano Central + Mercado Patrimonial,Turismo de Altura,Alto,Refuerzo estructural del Parque Urbano Central. | afinado: Reforzar la estructura metálica es directamente el proyecto del Parque Urbano Central.
C232,Modernizar el centro de monitoreo del transporte (190 cámaras) con inteligencia artificial,Ciudad Inteligente,"Parque Urbano Central (patios SETRAM/Pumakatari), La Paz",Paneles de Gestion en Tiempo Real,Ciudad Inteligente,Alto,Centro de monitoreo con IA. | afinado: Modernizar el centro de monitoreo con IA es gestión inteligente en tiempo real.
C233,Concluir la obra vial de Tacagua – San Juan Cotahuma y auditar el contrato,Ciudad Planificada y Habitable,"Avenida Tacagua – San Juan Cotahuma, La Paz",Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Obra vial de conexión.
C234,Estudiar y rehabilitar el túnel/bocamina de drenaje de San Juan Cotahuma,Ciudad Planificada y Habitable,"San Juan Cotahuma (túnel/bocamina), La Paz",Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,Drenaje/bocamina. | afinado: Rehabilitar el túnel/bocamina de drenaje es infraestructura de drenaje.
C235,Inspeccionar e intervenir el deslizamiento de Las Lomas / línea amarilla (Buenos Aires),Ciudad Planificada y Habitable,"Las Lomas / Buenos Aires (línea amarilla), Cotahuma, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Deslizamiento línea amarilla.
C236,Reutilizar los equipos médicos dados de baja e implementar el mantenimiento biomédico (convenio U. Católica),Ciudad Vital,"Hospital Municipal (red de Cotahuma), La Paz",Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Mantenimiento biomédico de equipos. | afinado: El mantenimiento biomédico de equipos fortalece la salud inteligente y preventiva.
C237,Verificar el derecho propietario y los permisos de construcción de las viviendas en riesgo del talud de Las Lomas,Ciudad Planificada y Habitable,"Las Lomas (talud), La Paz",Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Viviendas en riesgo en talud.
C238,"Rehabilitar el frontón/complejo deportivo de San Antonio (baños, electricidad, canchas y parqueo)",Ciudad Vital,"Frontón / complejo deportivo de San Antonio, La Paz",Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Rehabilitación de complejo deportivo. | afinado: Rehabilitar el frontón/complejo deportivo recupera infraestructura de deporte comunitario.
C239,Resolver el asentamiento estructural del Centro de Salud de Villa Armonía,Ciudad Vital,"Centro de Salud de Villa Armonía, La Paz",Infraestructura de Centros de Salud y Educacion,Equipamiento y Servicios Urbanos,Alto,Asentamiento estructural de centro de salud. | afinado: Resolver el asentamiento estructural del centro de salud es infraestructura de salud.
C240,Recuperar y regularizar el condominio de afectados de San Isidro (mal utilizado),Ciudad Planificada y Habitable,"San Isidro (Nieves-Linares), La Paz",Programa de Regularizacion con Seguridad,Gestion del Suelo y Asentamientos Seguros,Alto,Condominio de afectados. | afinado: Recuperar y regularizar el condominio de afectados es regularización del suelo con seguridad.
C241,"Refaccionar el Mercado Kollasuyo (techo, cañerías y luminarias)",Ciudad Productiva,"Mercado Kollasuyo, La Paz","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,Refacción integral de mercado.
C242,Establecer el lavado y la fumigación periódica (2 veces al año) del Mercado Kollasuyo,Ciudad Productiva,"Mercado Kollasuyo, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Lavado y fumigación de mercado. | afinado: Lavado y fumigación periódica de mercado: mantenimiento operativo recurrente.
C243,Auditar el CITE de Joyería (producción real vs. facturación) y esclarecer su manejo,Ciudad Eficiente y Transparente,"CITE de Joyería (Centro de Innovación Tecnológica, Costanera), La Paz",Control y Cuentas Claras,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Auditoría del CITE de Joyería. | afinado: Auditoría del CITE: acción de control interno.
C244,"Diagnosticar y reactivar el CITE de Joyería (certificación, refacción, personal y uso del equipamiento)",Ciudad Productiva,"CITE de Joyería (Centro de Innovación Tecnológica, Costanera), La Paz",Instituto Municipal de Emprendimiento,Ecosistema Municipal del Emprendimiento,Alto,Reactivación de centro de innovación productiva (CITE). | afinado: Diagnosticar y reactivar el CITE de Joyería fortalece el ecosistema de emprendimiento productivo.
C245,Verificar con inclinometría el resultado del proyecto de mitigación del deslizamiento de Valle de las Flores y esclarecer los cambios de alcance/presupuesto,Ciudad Planificada y Habitable,"Valle de las Flores / Callapa (distrito 16), macrodistrito San Antonio, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Verificación de mitigación de deslizamiento.
C246,"Ejecutar la Fase 2 de estabilización de Valle de las Flores (embovedado del río Quiswaras, drenaje pluvial y retiro de escombros)",Ciudad Planificada y Habitable,"Valle de las Flores / Callapa (distrito 16), macrodistrito San Antonio, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Fase 2 de estabilización (embovedado de río).
C247,"Rehabilitar los servicios de la zona afectada de Valle de las Flores (energía/alumbrado, vía y poste)",Ciudad Conectada,"Valle de las Flores / Callapa (distrito 16), macrodistrito San Antonio, La Paz",Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Reposición de servicios y vía post-deslizamiento. | afinado: Reponer vía y servicios tras el deslizamiento es infraestructura vial distrital.
C248,Resolver el drenaje y construir el muro de contención en la caja matriz del Parque de las Cebras,Ciudad Planificada y Habitable,"Parque de las Cebras, La Paz",Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,Drenaje y muro de contención en parque. | afinado: Resolver el drenaje y el muro de contención es infraestructura de drenaje.
C249,Conectar el servicio de agua del Parque de las Cebras (coordinación con EPSAS),Ciudad Planificada y Habitable,"Parque de las Cebras, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Conexión puntual de agua (EPSAS).
C250,"Retirar de inmediato los fierros sueltos, tapar huecos y asegurar cables en el Parque de las Cebras",Ciudad Verde,"Parque de las Cebras, La Paz",Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,"Seguridad del parque (Cebras). | afinado: Retirar fierros, tapar huecos y asegurar cables rehabilita el parque con la comunidad."
C251,Habilitar la puerta principal del Parque de las Cebras,Ciudad Verde,"Parque de las Cebras, La Paz",Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,Acceso del parque (Cebras). | afinado: Habilitar la puerta principal es parte de la renovación del parque.
C252,Reubicar o retirar los juegos en mal estado y las plantas mal ubicadas del Parque de las Cebras,Ciudad Verde,"Parque de las Cebras, La Paz",Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,Juegos/vegetación del parque (Cebras). | afinado: Reubicar juegos y vegetación renueva el parque con la comunidad.
C253,Instalar césped sintético e iluminación en las canchas del Parque de las Cebras,Ciudad Vital,"Parque de las Cebras, La Paz",Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Césped e iluminación de canchas. | afinado: Instalar césped e iluminación en canchas es infraestructura de deporte comunitario.
C254,Retirar o regularizar la caseta inactiva del Ministerio de Salud en el Parque de las Cebras,Ciudad Eficiente y Transparente,"Parque de las Cebras, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Regularización puntual de caseta.
C255,Ejecutar el mantenimiento integral del Parque de las Cebras,Ciudad Verde,"Parque de las Cebras, La Paz",Mantenimiento Participativo,Areas Verdes y Parques Urbanos,Alto,Mantenimiento integral de parque.
C256,Investigar el presunto avasallamiento de terreno del Parque de las Cebras (caso Sr. Chura),Tareas operativas,"Parque de las Cebras, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Investigación puntual de avasallamiento.
C257,Programa de mantenimiento integral de las 226 unidades educativas,Ciudad de Cuidados y Derechos,,Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Mantenimiento de unidades educativas.
C258,Asignar presupuesto específico para las unidades educativas desde la gestión 2027,Ciudad de Cuidados y Derechos,,Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Presupuesto para unidades educativas. | afinado: Asignar presupuesto específico a las unidades educativas sostiene la rehabilitación escolar.
C259,"Programa de seguridad vial escolar (señalización, cebras y voluntarios)",Ciudad Conectada,,Educacion Vial Escolar,Seguridad y Cultura Vial,Alto,"Seguridad vial escolar, encaje directo."
C260,Poner a disposición más de 1.200 becas para estudiantes de La Paz,Ciudad de Cuidados y Derechos,,Itinerarios Educativos por Talento,Educacion para el Desarrollo,Alto,Becas para estudiantes. | afinado: Poner a disposición 1.200 becas responde a itinerarios educativos por talento.
C261,Programa integral de laboratorios y computación en las unidades educativas,Ciudad Inteligente,,Centros de Inclusion Digital,Educacion Digital y Tecnologias para la Vida,Alto,Laboratorios y computación en escuelas.
C262,Atender las necesidades prioritarias del Colegio Agustín Aspiazu (tinglado y laboratorio),Ciudad de Cuidados y Derechos,"Colegio Agustín Aspiazu, La Paz",Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Tinglado y laboratorio de colegio.
C263,Reactivar y habilitar la maquinaria parada de EDME,Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Empresa Ciudad Humana: Servicios que transforman,Empresas Publicas Eficientes,Alto,Reactivación de maquinaria de EDME. | afinado: Reactivar la maquinaria de EDME hace eficiente y operativo el servicio de la empresa municipal.
C264,Auditar las contrataciones a terceros de EDME (~Bs 167 millones),Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Control y Cuentas Claras,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Auditoría de contrataciones de EDME. | afinado: Auditoría de contrataciones: acción de control interno.
C265,Dar de baja el inventario y repuestos obsoletos del almacén de EDME,Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Baja de inventario, operativo."
C266,Regularizar el derecho propietario e intervenir el deslizamiento del predio de EDME,Ciudad Planificada y Habitable,"Predio de EDME, Bajo Llojeta, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Deslizamiento del predio de EDME.
C267,Habilitar el surtidor propio y el tanque pulmón de EDME,Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Infraestructura operativa (surtidor).
C268,Implementar el sistema predictivo de repuestos (CRM) y subir el sistema Maresto a la nube,Ciudad Inteligente,"Predio de EDME, Bajo Llojeta, La Paz",Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,Sistema predictivo/nube de EDME. | afinado: El CRM predictivo de repuestos y la nube de EDME son digitalización de la gestión municipal.
C269,Mejorar las condiciones laborales del personal de EDME (duchas y vestuarios),Ciudad de Cuidados y Derechos,"Predio de EDME, Bajo Llojeta, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Condiciones laborales operativas.
